alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Gustavo A. Madero,Nueva Industrial Vallejo,48,217,4.0,54.0
Gustavo A. Madero,Nueva Tenochtitlan,177,132,15.0,43.0
Gustavo A. Madero,Nueva Vallejo,106,213,44.0,44.0
Gustavo A. Madero,Palmatitla,18,57,0.0,17.0
Gustavo A. Madero,Panamericana,3,36,1.0,7.0
Gustavo A. Madero,Parque Metropolitano,1,1,1.0,0.0
Gustavo A. Madero,Planetario Lindavista,4,15,1.0,4.0
Gustavo A. Madero,Pradera 2A Seccion,14,45,0.0,14.0
Gustavo A. Madero,Progreso Nacional,54,117,2.0,39.0
Gustavo A. Madero,Providencia,44,243,6.0,74.0
Gustavo A. Madero,Pueblo De Santiago Atzacoalco,12,108,0.0,32.0
Gustavo A. Madero,Pueblo San Juan De Aragon,16,217,3.0,70.0
Gustavo A. Madero,Residencial Acueducto De Guadalupe,5,58,2.0,19.0
Gustavo A. Madero,Residencial La Escalera,6,54,0.0,12.0
